name,postcode,state
Kota Kinabalu,"['88000', '88100', '88110', '88150', '88200', '88220', '88300', '88400', '88450', '88458', '88460', '88500', '88502', '88504', '88505', '88506', '88508', '88510', '88512', '88514', '88516', '88518', '88520', '88526', '88527', '88532', '88534', '88538', '88540', '88546', '88550', '88551', '88552', '88554', '88556', '88558', '88560', '88562', '88564', '88566', '88568', '88570', '88572', '88576', '88580', '88582', '88586', '88590', '88592', '88594', '88596', '88598', '88600', '88602', '88604', '88606', '88608', '88609', '88610', '88612', '88614', '88617', '88618', '88620', '88621', '88622', '88624', '88626', '88628', '88630', '88632', '88634', '88644', '88646', '88648', '88656', '88658', '88660', '88661', '88662', '88670', '88672', '88673', '88675', '88676', '88680', '88690', '88740', '88757', '88758', '88759', '88760', '88761', '88762', '88763', '88764', '88765', '88766', '88767', '88768', '88769', '88770', '88771', '88772', '88773', '88774', '88775', '88776', '88777', '88778', '88779', '88780', '88781', '88782', '88783', '88784', '88785', '88786', '88787', '88788', '88789', '88790', '88800', '88801', '88802', '88803', '88804', '88805', '88806', '88807', '88808', '88809', '88810', '88811', '88812', '88813', '88814', '88815', '88816', '88817', '88818', '88819', '88820', '88821', '88822', '88823', '88824', '88825', '88826', '88827', '88828', '88829', '88830', '88831', '88832', '88833', '88834', '88835', '88836', '88837', '88838', '88839', '88840', '88841', '88842', '88843', '88844', '88845', '88846', '88847', '88848', '88849', '88850', '88851', '88852', '88853', '88854', '88855', '88860', '88861', '88862', '88863', '88865', '88866', '88867', '88868', '88869', '88870', '88871', '88872', '88873', '88874', '88875', '88900', '88901', '88902', '88903', '88904', '88905', '88906', '88988', '88990', '88991', '88992', '88993', '88994', '88995', '88996', '88997', '88998', '88999']",Sabah
Kota Kinabatangan,['90200'],Sabah
Kota Marudu,"['89100', '89107', '89108', '89109']",Sabah
Kuala Penyu,"['89740', '89747', '89748', '89749']",Sabah
Kudat,"['89050', '89057', '89058', '89059']",Sabah
Kunak,"['91200', '91207', '91209']",Sabah
Lahad Datu,"['91100', '91108', '91109', '91110', '91111', '91112', '91113', '91114', '91115', '91116', '91117', '91118', '91119', '91120', '91121', '91122', '91123', '91124', '91125', '91126', '91127', '91128', '91150']",Sabah
Likas,['88856'],Sabah
Membakut,"['89720', '89727', '89728', '89729']",Sabah
Menumbok,"['89760', '89767', '89768', '89769']",Sabah
Nabawan,"['89950', '89957', '89958', '89959']",Sabah
Pamol,['90400'],Sabah
Papar,"['89600', '89607', '89608', '89609']",Sabah
Penampang,"['89500', '89507', '89508', '89509']",Sabah
Putatan,"['88721', '88722', '88723', '88724', '88725']",Sabah
Ranau,"['89300', '89307', '89308', '89309', '89320', '89350', '89357']",Sabah
